category,ticker,name,strategy,total_return_pct
투자자별,012030,012030,BB_20_2.5_F10,-10.802345458999932
앙상블,196170,알테오젠,MeanRev_20_2,-10.985659073999807
투자자별,000480,000480,MACD_12_26_9_F5,-11.006756364999696
투자자별,060980,060980,TrendStr_20_100_10,-11.051720599999593
앙상블,251270,넷마블,Breakout_50_10,-11.29684319999975
투자자별,001045,001045,BB_20_2.5_F10,-11.343396757999898
투자자별,003555,003555,VolAdj_F5_V15,-11.451366154998988
투자자별,011150,011150,VolSpike_10_3x,-11.524618829999657
투자자별,001120,001120,RSI_14_30_F5,-11.591397769999489
앙상블,51910,LG화학,MomQuality_20_10,-11.675687499999002
투자자별,051915,051915,RSI_7_25_F10,-11.6936553999992
투자자별,011070,011070,VolSpike_20_2x,-11.71513669999914
투자자별,00104K,00104K,MACD_8_21_5_F10,-11.739340099999652
앙상블,247540,에코프로비엠,MeanRev_20_2,-11.802065692999747
투자자별,011070,011070,VolSpike_10_3x,-11.855577799999772
투자자별,000210,000210,TrendStr_10_50_5,-11.86162189099942
투자자별,006840,006840,TrendStr_20_100_10,-11.909721099999636
투자자별,035000,035000,TrendStr_20_100_10,-11.968192584999576
투자자별,017860,017860,RSI_14_30_F5,-12.017743092999815
투자자별,039570,039570,TrendStr_10_50_5,-12.019860804999352
투자자별,011150,011150,MACD_8_21_5_F10,-12.02947049999912
투자자별,037560,037560,BB_20_2.5_F10,-12.23209195999986
투자자별,004840,004840,MACD_8_21_5_F10,-12.261033405999482
투자자별,003580,003580,SmartDiv_50_20,-12.277056801998151
투자자별,000120,000120,RetailContra_10_90,-12.407519699999392
앙상블,660,SK하이닉스,VolBreak_0.6_5,-12.716281399997843
투자자별,003580,003580,VolAdj_F10_V20,-12.726828480999233
투자자별,001465,001465,RSI_7_25_F10,-12.751270399999514
투자자별,017940,017940,TrendStr_10_50_5,-12.783161799999194
투자자별,000215,000215,BB_20_2_F5,-12.83237777499971
투자자별,016610,016610,BB_20_2_F5,-12.88401205999972
투자자별,001460,001460,MACD_8_21_5_F10,-13.032449299999282
투자자별,002460,002460,MACD_12_26_9_F5,-13.050072069999516
투자자별,001465,001465,RSI_14_30_F5,-13.183459159999773
투자자별,060980,060980,VolAdj_F5_V15,-13.49797584999919
