symbol,profit_factor,total_return,win_rate,mdd,num_trades,sharpe,data_start,data_end
NULSUSDT,1.739372640920108,33.42841483413248,23.076923076923077,-42.783208572736086,13,-0.13144031170086184,2024-08-26,2025-12-28
OBOLUSDT,0.8575825339449015,-7.5221471413051795,46.15384615384615,-42.13009906351283,13,-1.0577588198247194,2025-05-07,2025-12-28
OCEANUSDT,0.6536331335940682,-53.47399394945214,29.166666666666668,-76.22195853824061,72,-0.034255531733815396,2021-01-01,2025-12-28
OGNUSDT,0.9334663705637326,-30.523189514901027,39.53488372093023,-74.43590043412127,86,-0.0019672670824674994,2021-11-11,2025-12-20
OGUSDT,2.804797166420319,51.79922315558328,36.36363636363637,-9.62713363293189,11,0.9385260334665704,2025-05-12,2025-12-20
OLUSDT,0.18914463728693562,-59.38134971683229,25.0,-64.78325406337771,12,-1.9987858012194892,2025-06-25,2025-12-20
OMGUSDT,1.1855486154351456,75.44744179460122,35.526315789473685,-33.947558467713016,76,0.339074549219337,2021-01-01,2025-12-28
OMNIUSDT,1.3625846694647326,44.76784700422984,39.285714285714285,-33.981808053059595,28,0.5402196541064647,2024-04-17,2025-12-28
OMUSDT,2.6465670262176553,279.6547507799368,35.483870967741936,-40.31117493720883,31,0.8437337773211168,2024-02-13,2025-12-20
ONDOUSDT,0.8038580625451149,-30.702094165461947,30.434782608695656,-65.4033683051321,46,-0.21405091824849523,2024-01-20,2025-12-20
ONEUSDT,1.3102597553688629,160.53379780687496,38.666666666666664,-56.97085667011529,75,0.43525096826694804,2021-11-11,2025-12-20
ONGUSDT,0.6111328890310773,-38.47346773978345,40.0,-55.66910232686789,45,-0.5557679990526048,2023-11-27,2025-12-20
ONTUSDT,0.8619207679069028,-37.022109473959176,36.36363636363637,-73.02580166812479,88,-0.18639852941664445,2021-11-11,2025-12-20
OPUSDT,0.7454288694421296,-52.11179158877728,29.11392405063291,-67.40237449528715,79,-0.16870409155079696,2022-06-01,2025-12-20
ORBSUSDT,0.8892957984246692,-6.142431458635434,31.818181818181817,-22.833623790654496,22,-0.0236243827668859,2023-10-17,2025-12-28
ORCAUSDT,0.9168229594633329,-7.669206948130613,29.166666666666668,-40.04273059502869,24,-0.10700551108328685,2024-12-06,2025-12-20
ORDIUSDT,0.4701271278488409,-79.19899244088016,24.528301886792452,-79.91700065355026,53,-0.86615652928123,2023-11-07,2025-12-20
OXTUSDT,0.8803256425769953,-17.78822112642935,30.18867924528302,-51.505937617523024,53,-0.06614468286385197,2023-08-11,2025-12-20
PARTIUSDT,0.881598311564135,-7.903943656231094,29.411764705882355,-29.271414319401217,17,0.021465616052142335,2025-03-25,2025-12-20
PAXGUSDT,1.9034422005270488,8.7178433174385,25.0,-7.319695706709972,12,0.3707030634047362,2025-03-27,2025-12-20
PENDLEUSDT,0.8656188637181412,-42.74717510664342,28.30188679245283,-80.87954091209107,53,-0.0702538600620636,2023-07-28,2025-12-20
PENGUUSDT,1.1108017788506186,10.1912738794391,41.17647058823529,-38.51752897831521,17,0.15099478681278203,2024-12-17,2025-12-20
PEOPLEUSDT,0.6350472537490288,-175.877462712725,46.06741573033708,-235.0930488223508,89,0.02543284054054479,2021-12-24,2025-12-20
PERPUSDT,1.301601208578176,74.78335522342927,41.17647058823529,-41.45259950067536,51,0.25095117847110743,2023-03-06,2025-12-28
PHAUSDT,0.9947257639148177,-0.4387176375677537,30.434782608695656,-40.20973468057933,23,-0.0002535782542918558,2024-12-30,2025-12-20
PHBUSDT,1.0354987134555265,13.435609021664785,34.42622950819672,-63.253277221419054,61,0.2586379967089262,2023-02-16,2025-12-20
PIPPINUSDT,0.19375193844242453,-156.00275020195147,28.57142857142857,-107.73261960601694,21,-1.4789219914425191,2025-01-24,2025-12-20
PIXELUSDT,1.406944796695872,85.22746294392299,40.0,-49.42584604135752,35,0.4901693671627575,2024-02-19,2025-12-20
PNUTUSDT,0.7334993869365217,-24.288325657752363,40.909090909090914,-46.138326153368965,22,-0.28257378696841984,2024-11-11,2025-12-20
POLUSDT,1.2264693019990254,12.767237813485522,40.0,-27.508244889597293,25,-0.1713502575908429,2024-09-13,2025-12-20
POLYXUSDT,1.1889998711535807,22.196228192255376,38.297872340425535,-34.15661997005793,47,0.2034690492093052,2023-10-25,2025-12-20
PONKEUSDT,1.8221879703177752,65.55563512749991,66.66666666666666,-22.83053602058447,18,0.6610556213152585,2024-11-04,2025-12-28
POPCATUSDT,0.8028862142450883,-24.282521318275364,46.666666666666664,-53.7703169050957,30,-0.22938111116860363,2024-08-22,2025-12-20
PORT3USDT,0.05557425325465267,-95.21014841278918,16.666666666666664,-93.27346438487561,12,-2.602909861992094,2025-06-04,2025-12-28
PORTALUSDT,2.9339089315633444,419.55594384917293,57.14285714285714,-24.268986299102682,28,1.393633152452934,2024-02-29,2025-12-20
POWRUSDT,0.6205228183223646,-41.497080953559816,34.04255319148936,-59.18260734300959,47,-0.5633060313005771,2023-10-27,2025-12-20
PROMPTUSDT,0.827625108015844,-15.66418766776766,46.666666666666664,-48.842902585951975,15,-0.13674984259675252,2025-04-11,2025-12-20
PROMUSDT,0.32772209081233206,-39.28792691967076,20.588235294117645,-39.93753457248349,34,-1.8031734867219804,2025-01-15,2025-12-20
PUFFERUSDT,0.6152117723359751,-13.991618110711757,27.27272727272727,-33.535989797732476,11,-0.6840293203551289,2025-06-04,2025-12-20
PUNDIXUSDT,0.9171169323825981,-2.2592091105479772,41.66666666666667,-21.178894881564577,12,-0.4034680870626698,2025-04-30,2025-12-20
PYTHUSDT,0.7409495600771053,-47.911354619823584,39.53488372093023,-71.73375061495132,43,-0.3913538004879722,2023-11-22,2025-12-20
QNTUSDT,0.8882032758692852,-14.519175949017482,33.33333333333333,-39.2752521264166,60,-0.15762316452144037,2022-10-20,2025-12-20
QTUMUSDT,0.843621617014725,-49.23428740127689,30.526315789473685,-71.30506849147949,95,-0.22606931478162878,2021-11-11,2025-12-20
